Package,Released image installed version,Built Trixie installed version,Change,Review group,Review reference,Evidence/disposition
libsctp1:amd64,1.0.18+dfsg-1,1.0.21+dfsg-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libseccomp2:amd64,2.5.1-1+deb11u1,2.6.0-2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libselinux1:amd64,3.1-3,3.8.1-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsemanage-common,3.1-1,3.8.1-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsemanage1:amd64,3.1-1+b2,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsemanage2:amd64,,3.8.1-1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsepol1:amd64,3.1-1+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsepol2:amd64,,3.8.1-1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsmartcols1:amd64,2.36.1-8+deb11u2,2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsqlite3-0:amd64,3.34.1-3+deb11u1,3.46.1-7+deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libss2:amd64,1.46.2-2+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libssh2-1:amd64,1.9.0-2+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libssh2-1t64:amd64,,1.11.1-1+deb13u1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libssl1.1:amd64,1.1.1w-0+deb11u5,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libssl3t64:amd64,,3.5.7-1~deb13u2,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libstdc++6:amd64,10.2.1-6,14.2.0-19,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libsystemd0:amd64,247.3-7+deb11u6,257.13-1~deb13u1,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libtasn1-6:amd64,4.16.0-2+deb11u2,4.20.0-2+deb13u1,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libtinfo6:amd64,6.2+20201114-2+deb11u2,6.5+20250216-2,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libtirpc-common,1.3.1-1+deb11u1,1.3.6+ds-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libtirpc-dev:amd64,1.3.1-1+deb11u1,,removed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libtirpc3:amd64,1.3.1-1+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libtirpc3t64:amd64,,1.3.6+ds-1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libudev1:amd64,247.3-7+deb11u6,257.13-1~deb13u1,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libunistring2:amd64,0.9.10-4,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libunistring5:amd64,,1.3-2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
liburcu8t64:amd64,,0.15.2-2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libuuid1:amd64,2.36.1-8+deb11u2,2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libuv1:amd64,1.40.0-2+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libuv1t64:amd64,,1.50.0-2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libwrap0:amd64,7.6.q-31,7.6.q-36,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libxml2:amd64,2.9.10+dfsg-6.7+deb11u9,2.12.7+dfsg+really2.9.14-2.1+deb13u3,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libxtables12:amd64,1.8.7-1,1.8.11-2,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libxxhash0:amd64,0.8.0-2,0.8.3-2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libzstd1:amd64,1.4.8+dfsg-2.1,1.5.7+dfsg-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
linux-libc-dev,,6.12.107-1,added,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
linux-libc-dev:amd64,5.10.251-1,,removed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
login,1:4.8.1-1+deb11u1,1:4.16.0-2+really2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
login.defs,,1:4.17.4-2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
logsave,1.46.2-2+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
lsb-base,11.1.0,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
lsb-release,11.1.0,12.1-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
mawk,1.3.4.20200120-2,1.3.4.20250131-1,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
media-types,4.0.0,13.0.0,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
mount,2.36.1-8+deb11u2,2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
ncurses-base,6.2+20201114-2+deb11u2,6.5+20250216-2,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
ncurses-bin,6.2+20201114-2+deb11u2,6.5+20250216-2,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
netbase,6.3,6.5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
netcat,1.10-46,,removed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
netcat-openbsd,1.217-3,1.229-1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
node-acorn,,8.8.1+ds+~cs25.17.7-2,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-balanced-match,,2.0.0-1,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-brace-expansion,,2.0.1+~1.1.0-2,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-cjs-module-lexer,,1.2.3+dfsg-1,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-corepack,,0.24.0-5,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-minimatch,,9.0.3-6,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-undici,,7.3.0+dfsg1+~cs24.12.11-1,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
node-xtend,,4.0.2-3,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
nodejs,12.22.12~dfsg-1~deb11u7,20.19.2+dfsg-1+deb13u2,changed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
openssl,,3.5.7-1~deb13u2,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
openssl-provider-legacy,,3.5.7-1~deb13u2,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
passwd,1:4.8.1-1+deb11u1,1:4.17.4-2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
perl-base,5.32.1-4+deb11u5,5.40.1-6+deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
protobuf-compiler,3.12.4-1+deb11u1,3.21.12-11+deb13u1,changed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
python3,3.9.2-3,3.13.5-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-aiohappyeyeballs,,2.6.1-1,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-aiohttp,3.7.4-1+deb11u1,3.11.16-1+deb13u1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-aiosignal,,1.3.2-1,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-async-timeout,3.0.1-1.1,5.0.1-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-attr,20.3.0-1,25.3.0-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-bcrypt,,4.2.0-2.1+b1,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-cffi-backend:amd64,1.14.5-1,1.17.1-3,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-chardet,4.0.0-1,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-cryptography,3.3.2-1+deb11u1,43.0.0-3+deb13u1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-frozenlist,,1.6.0-1,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-idna,2.10-1+deb11u1,3.10-1+deb13u1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-minimal,3.9.2-3,3.13.5-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-multidict,5.1.0-1,6.4.3-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-pkg-resources,52.0.0-4+deb11u2,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-ply,3.11-4,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-propcache,,0.3.1-1,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-six,1.16.0-2,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-typing-extensions,3.7.4.3-1,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3-yarl,1.6.3-2,1.19.0-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3.13,,3.13.5-2+deb13u5,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3.13-minimal,,3.13.5-2+deb13u5,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3.9,3.9.2-1+deb11u6,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
python3.9-minimal,3.9.2-1+deb11u6,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
radvd,1:2.18-3,1:2.20-1+b1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
readline-common,8.1-1,8.2-6,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
rpcsvc-proto,,1.4.3-1,added,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
rsyslog,8.2102.0-2+deb11u1,8.2504.0-1+deb13u2,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
sed,4.7-1,4.9-2+deb13u1,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
socat,1.7.4.1-3,1.8.0.3-1+deb13u1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
sqv,,1.3.0-3+b2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
sudo,1.9.5p2-3+deb11u3,1.9.16p2-3+deb13u2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
sysvinit-utils,2.96-7+deb11u1,3.14-4,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
tar,1.34+dfsg-1+deb11u1,1.35+dfsg-3.1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
tzdata,2025b-0+deb11u1,2026b-0+deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
util-linux,2.36.1-8+deb11u2,2.41-5,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
xz-utils,5.2.5-2.1~deb11u1,5.8.1-1+deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
zlib1g-dev:amd64,1:1.2.11.dfsg-2+deb11u2,1:1.3.dfsg+really1.3.1-1+b1,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
zlib1g:amd64,1:1.2.11.dfsg-2+deb11u2,1:1.3.dfsg+really1.3.1-1+b1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
